target_id,candidate_public_row_index,candidate_record_id,candidate_sensitive_value,candidate_privjedai_score,candidate_from_privjedai_block,candidate_from_privjedai_match,candidate_matched_attr_count,candidate_exact_match_count,candidate_generalized_match_count,candidate_suppressed_match_count,candidate_is_true_record
30219,74,74,<=50K,1.0,True,True,5,3,2,0,False
30219,100,100,>50K,1.0,True,True,5,3,2,0,False
30219,316,316,<=50K,1.0,True,True,5,3,2,0,False
30219,324,324,<=50K,1.0,True,True,5,3,2,0,False
30219,499,499,<=50K,1.0,True,True,5,3,2,0,False
30219,647,647,<=50K,1.0,True,True,5,3,2,0,False
30219,833,833,<=50K,1.0,True,True,5,3,2,0,False
30219,872,872,>50K,1.0,True,True,5,3,2,0,False
30219,1229,1229,<=50K,1.0,True,True,5,3,2,0,False
30219,1768,1768,<=50K,1.0,True,True,5,3,2,0,False
30219,1808,1808,<=50K,1.0,True,True,5,3,2,0,False
30219,1837,1837,<=50K,1.0,True,True,5,3,2,0,False
30219,1951,1951,<=50K,1.0,True,True,5,3,2,0,False
30219,2372,2372,<=50K,1.0,True,True,5,3,2,0,False
30219,2402,2402,<=50K,1.0,True,True,5,3,2,0,False
30219,2483,2483,<=50K,1.0,True,True,5,3,2,0,False
30219,2491,2491,<=50K,1.0,True,True,5,3,2,0,False
30219,2665,2665,>50K,1.0,True,True,5,3,2,0,False
30219,2684,2684,<=50K,1.0,True,True,5,3,2,0,False
30219,2941,2941,>50K,1.0,True,True,5,3,2,0,False
30219,2999,2999,<=50K,1.0,True,True,5,3,2,0,False
30219,3291,3291,<=50K,1.0,True,True,5,3,2,0,False
30219,3297,3297,>50K,1.0,True,True,5,3,2,0,False
30219,3602,3602,>50K,1.0,True,True,5,3,2,0,False
30219,3606,3606,<=50K,1.0,True,True,5,3,2,0,False
30219,3671,3671,<=50K,1.0,True,True,5,3,2,0,False
30219,3689,3689,<=50K,1.0,True,True,5,3,2,0,False
30219,4018,4018,>50K,1.0,True,True,5,3,2,0,False
30219,4196,4196,<=50K,1.0,True,True,5,3,2,0,False
30219,4236,4236,<=50K,1.0,True,True,5,3,2,0,False
30219,4755,4755,<=50K,1.0,True,True,5,3,2,0,False
30219,4851,4851,<=50K,1.0,True,True,5,3,2,0,False
30219,5009,5009,<=50K,1.0,True,True,5,3,2,0,False
30219,5198,5198,>50K,1.0,True,True,5,3,2,0,False
30219,5416,5416,<=50K,1.0,True,True,5,3,2,0,False
30219,5679,5679,<=50K,1.0,True,True,5,3,2,0,False
30219,5687,5687,<=50K,1.0,True,True,5,3,2,0,False
30219,5808,5808,<=50K,1.0,True,True,5,3,2,0,False
30219,5855,5855,<=50K,1.0,True,True,5,3,2,0,False
30219,5916,5916,<=50K,1.0,True,True,5,3,2,0,False
30219,6000,6000,<=50K,1.0,True,True,5,3,2,0,False
